NOME DO ESTABELECIMENTO                                                                        ,MED.AVALIACOES                     ,QNT.AVALIACOES                          ,ENDERECO COMPLETO                                                                                                                                                     ,TIPO DE ESTABELECIMENTO                ,CONTATO DO ESTABELECIMENTO ,LOGRADOURO                          ,NUMERO  ,BAIRRO          ,CEP
GIVALDO VEÍCULOS                                                                               ,"4,7"                              ,(7)                                     ,"AV. COELHO E CAMPOS, 1139 - GETÚLIO VARGAS, ARACAJU - SE, 49055-180"                                                                                                 ,CONCESSIONÁRIA                         ,(79) 3214-7071             ,AV. COELHO E CAMPOS                 ,1139    ,GETÚLIO VARGAS  ,49055-180
"RENOVEL RENAULT, SUA CONCESSIONÁRIA RENAULT EM SERGIPE"                                       ,"4,6"                              ,(1.741)                                 ,"AV. PRES. TANCREDO NEVES, 600 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                    ,CONCESSIONÁRIA DA RENAULT              ,(79) 3025-9898             ,AV. PRES. TANCREDO NEVES            ,600     ,JARDINS         ,49025-620
"AUDI CENTER: CONCESSIONÁRIA, CARROS, SEMINOVOS EM ARACAJU SE"                                 ,"4,6"                              ,(90)                                    ,"AV. PRES. TANCREDO NEVES, 1254 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                   ,CONCESSIONÁRIA AUDI                    ,(79) 3212-6390             ,AV. PRES. TANCREDO NEVES            ,1254    ,JARDINS         ,49025-620
LEOCAR VEÍCULOS                                                                                ,"5,0"                              ,(3)                                     ,"AV. DES. MAYNARD, 692 - CIRURGIA, ARACAJU - SE, 49055-210"                                                                                                           ,REVENDEDORA DE CARROS USADOS           ,(79) 3214-7575             ,AV. DES. MAYNARD                    ,692     ,CIRURGIA        ,49055-210
JOAO FAZ MULTIMARCAS- LOJA DE CARROS-ARACAJU                                                   ,"1,8"                              ,(15)                                    ,"AV. AUGUSTO FRANCO, 1075 - GETÚLIO VARGAS, ARACAJU - SE, 49055-080"                                                                                                  ,AGENTE COMERCIAL DE CARROS             ,(79) 99994-0084            ,AV. AUGUSTO FRANCO                  ,1075    ,GETÚLIO VARGAS  ,49055-080
GARAGEM AJU AUTOMOVEIS                                                                         ,"4,8"                              ,(13)                                    ,"R. LARANJEIRAS, 1551 - GETÚLIO VARGAS, ARACAJU - SE, 49055-380"                                                                                                      ,REVENDEDORA DE CARROS USADOS           ,(79) 99909-1070            ,R. LARANJEIRAS                      ,1551    ,GETÚLIO VARGAS  ,49055-380
"SAMAM JEEP RIOMAR: CARROS NOVOS, COMPASS, RENEGADE, TROCA DE ÓLEO, ARACAJU SE"                ,"4,6"                              ,(32)                                    ,"AV. DELMIRO GOUVEIA, 600 - COROA DO MEIO, ARACAJU - SE, 49035-660"                                                                                                   ,CONCESSIONÁRIA JEEP                    ,(79) 3194-1810             ,AV. DELMIRO GOUVEIA                 ,600     ,COROA DO MEIO   ,49035-660
SAMAM HYUNDAI                                                                                  ,"4,3"                              ,(716)                                   ,"R. BASÍLIO ROCHA, 142 - GETÚLIO VARGAS, ARACAJU - SE, 49055-100"                                                                                                     ,CONCESSIONÁRIA HYUNDAI                 ,(79) 3198-1500             ,R. BASÍLIO ROCHA                    ,142     ,GETÚLIO VARGAS  ,49055-100
VIA CAR AUTOMÓVEIS                                                                             ,"5,0"                              ,(7)                                     ,"AV. COELHO E CAMPOS, 1197 - GETÚLIO VARGAS, ARACAJU - SE, 49055-180"                                                                                                 ,CONCESSIONÁRIA                         ,(79) 99172-1819            ,AV. COELHO E CAMPOS                 ,1197    ,GETÚLIO VARGAS  ,49055-180
CRED - CAR VEÍCULOS                                                                            ,"4,3"                              ,(39)                                    ,"AV. COELHO E CAMPOS, 1150 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                  ,CONCESSIONÁRIA                         ,(79) 3246-6790             ,AV. COELHO E CAMPOS                 ,1150    ,SANTO ANTÔNIO   ,49060-000
ROGÉRIO VEÍCULOS                                                                               ,"5,0"                              ,(9)                                     ,"AV. PEDRO CALAZANS, 716 - GETÚLIO VARGAS, ARACAJU - SE, 49055-520"                                                                                                   ,REVENDEDORA DE CARROS USADOS           ,(79) 3222-3430             ,AV. PEDRO CALAZANS                  ,716     ,GETÚLIO VARGAS  ,49055-520
"TOYOLEX TOYOTA - ARACAJU SE: CONCESSIONÁRIA, CARROS NOVOS E SEMINOVOS"                        ,"4,5"                              ,(1.953)                                 ,"AV. PRES. TANCREDO NEVES, 5121 - JABOTIANA, ARACAJU - SE, 49095-000"                                                                                                 ,CONCESSIONÁRIA TOYOTA                  ,(79) 3225-8787             ,AV. PRES. TANCREDO NEVES            ,5121    ,JABOTIANA       ,49095-000
SAMAM VEÍCULOS - JEEP                                                                          ,"4,6"                              ,(105)                                   ,"R. BASÍLIO ROCHA, 89 - GETÚLIO VARGAS, ARACAJU - SE, 49055-110"                                                                                                      ,CONCESSIONÁRIA JEEP                    ,(79) 3512-0385             ,R. BASÍLIO ROCHA                    ,89      ,GETÚLIO VARGAS  ,49055-110
GAMA PEUGEOT                                                                                   ,"4,3"                              ,(296)                                   ,"AV. PRES. TANCREDO NEVES, 3402 - PONTO NOVO, ARACAJU - SE, 49095-000"                                                                                                ,CONCESSIONÁRIA PEUGEOT                 ,(79) 2106-9600             ,AV. PRES. TANCREDO NEVES            ,3402    ,PONTO NOVO      ,49095-000
SERIGY AUTOMÓVEIS                                                                              ,"4,0"                              ,(4)                                     ,"AV. PRES. TANCREDO NEVES, 1016 - JARDINS, ARACAJU - SE, 49025-620"                                                                                                   ,CONCESSIONÁRIA                         ,(79) 99606-1001            ,AV. PRES. TANCREDO NEVES            ,1016    ,JARDINS         ,49025-620
CARVEL MULTIMARCAS                                                                             ,"4,8"                              ,(15)                                    ,"AV. PEDRO CALAZANS, N°50 - CENTRO, ARACAJU - SE, 49055-520"                                                                                                          ,CONCESSIONÁRIA DE VEÍCULOS MOTORIZADOS ,(79) 3021-0003             ,AV. PEDRO CALAZANS                  ,N       ,CENTRO          ,49055-520
ELITE VEÍCULOS                                                                                 ,"5,0"                              ,(1)                                     ,"AV. COELHO E CAMPOS, 833 - GETÚLIO VARGAS, ARACAJU - SE, 49055-180"                                                                                                  ,CONCESSIONÁRIA                         ,(79) 99888-3293            ,AV. COELHO E CAMPOS                 ,833     ,GETÚLIO VARGAS  ,49055-180
LÉO AUTOMÓVEIS                                                                                 ,"5,0"                              ,(3)                                     ,"AV. COELHO E CAMPOS, 818 - 18 DO FORTE, ARACAJU - SE, 49010-490"                                                                                                     ,REVENDEDORA DE CARROS USADOS           ,(79) 99935-7654            ,AV. COELHO E CAMPOS                 ,818     ,18 DO FORTE     ,49010-490
VILA NOVA VEÍCULOS                                                                             ,"5,0"                              ,(1)                                     ,"R. ARMINDO GUARANÁ, 78 - SANTO ANTÔNIO, ARACAJU - SE, 49060-030"                                                                                                     ,REVENDEDORA DE CARROS USADOS           ,(79) 99684-8677            ,R. ARMINDO GUARANÁ                  ,78      ,SANTO ANTÔNIO   ,49060-030
AUTO MAIS VEÍCULOS                                                                             ,"2,6"                              ,(5)                                     ,"AV. DEP. AIRTON TÉLES, 816 - SANTO ANTÔNIO, ARACAJU - SE, 49060-120"                                                                                                 ,REVENDEDORA DE CARROS USADOS           ,(79) 99820-1343            ,AV. DEP. AIRTON TÉLES               ,816     ,SANTO ANTÔNIO   ,49060-120
KLEBER AUTOMÓVEIS                                                                              ,"5,0"                              ,(1)                                     ,"AV. CARLOS BURLAMARQUI, 757 - GETÚLIO VARGAS, ARACAJU - SE, 49055-150"                                                                                               ,REVENDEDORA DE CARROS USADOS           ,(79) 99892-1299            ,AV. CARLOS BURLAMARQUI              ,757     ,GETÚLIO VARGAS  ,49055-150
RODRIGUES SEMINOVOS                                                                            ,"4,3"                              ,(7)                                     ,"AV. COELHO E CAMPOS, 716 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,REVENDEDORA DE CARROS USADOS           ,(79) 99866-7462            ,AV. COELHO E CAMPOS                 ,716     ,SANTO ANTÔNIO   ,49060-000
SERGIPE VEÍCULOS COMERCIAIS                                                                    ,"5,0"                              ,(3)                                     ,"R. BASÍLIO ROCHA, 38 - GETÚLIO VARGAS, ARACAJU - SE, 49055-110"                                                                                                      ,CONCESSIONÁRIA                         ,(79) 3279-3200             ,R. BASÍLIO ROCHA                    ,38      ,GETÚLIO VARGAS  ,49055-110
DNC VEÍCULOS SEMINOVOS                                                                         ,"3,7"                              ,(9)                                     ,"AV. SÃO PAULO, 817 - SIQUEIRA CAMPOS, ARACAJU - SE, 49075-530"                                                                                                       ,LOJA                                   ,(79) 99872-7224            ,AV. SÃO PAULO                       ,817     ,SIQUEIRA CAMPOS ,49075-530
ZOMINHO AUTOMÓVEIS                                                                             ,"4,3"                              ,(6)                                     ,"AV. PEDRO CALAZANS, 230 - GETÚLIO VARGAS, ARACAJU - SE, 49055-520"                                                                                                   ,CONCESSIONÁRIA                         ,(79) 3205-1666             ,AV. PEDRO CALAZANS                  ,230     ,GETÚLIO VARGAS  ,49055-520
PADRÃO AUTOMÓVEIS                                                                              ,"5,0"                              ,(2)                                     ,"PRAÇA DOS EXPEDICIONÁRIOS, 1146 - GETÚLIO VARGAS, ARACAJU - SE, 49055-280"                                                                                           ,CONCESSIONÁRIA                         ,(79) 99836-8089            ,PRAÇA DOS EXPEDICIONÁRIOS           ,1146    ,GETÚLIO VARGAS  ,49055-280
AUTO PARVI - TOYOLEX - ARACAJU SE                                                              ,"4,1"                              ,(16)                                    ,"AV. PRES. TANCREDO NEVES, 5121 - JABOTIANA, ARACAJU - SE, 49095-000"                                                                                                 ,CONCESSIONÁRIA                         ,Contato não disponível     ,AV. PRES. TANCREDO NEVES            ,5121    ,JABOTIANA       ,49095-000
UNIDAS ALUGUEL DE CARROS                                                                       ,"4,1"                              ,(337)                                   ,"AV. SEN. JÚLIO CÉSAR LEITE, BOX N° 13 - AEROPORTO, ARACAJU - SE, 49035-580"                                                                                          ,AGÊNCIA DE ALUGUEL DE CARROS           ,(79) 3512-0134             ,AV. SEN. JÚLIO CÉSAR LEITE          ,BOX     ,AEROPORTO       ,49035-580
NOSSA SENHORA APARECIDA VEÍCULOS                                                               ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"AV. COELHO E CAMPOS, 810 - CENTRO, ARACAJU - SE, 49060-000"                                                                                                          ,REVENDEDORA DE CARROS USADOS           ,(79) 99612-5661            ,AV. COELHO E CAMPOS                 ,810     ,CENTRO          ,49060-000
FIAT REVEMAR                                                                                   ,"4,4"                              ,(67)                                    ,"AV. OVIEDO TEIXEIRA, 959 - JARDINS, ARACAJU - SE, 49026-100"                                                                                                         ,CONCESSIONÁRIA                         ,(79) 3024-7300             ,AV. OVIEDO TEIXEIRA                 ,959     ,JARDINS         ,49026-100
JBM AUTOMÓVEIS                                                                                 ,"4,7"                              ,(3)                                     ,"AV. PEDRO CALAZANS, 43 - CENTRO, ARACAJU - SE, 49010-490"                                                                                                            ,CONCESSIONÁRIA                         ,(79) 99903-0213            ,AV. PEDRO CALAZANS                  ,43      ,CENTRO          ,49010-490
SERTANEJO VEÍCULOS                                                                             ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"AV. PEDRO CALAZANS, 243 - CENTRO, ARACAJU - SE, 49010-490"                                                                                                           ,CONCESSIONÁRIA                         ,(79) 99986-6599            ,AV. PEDRO CALAZANS                  ,243     ,CENTRO          ,49010-490
JV AUTOMÓVEIS AJU                                                                              ,"4,0"                              ,(1)                                     ,"AV. COELHO E CAMPOS, 1047 - GETÚLIO VARGAS, ARACAJU - SE, 49055-180"                                                                                                 ,CONCESSIONÁRIA                         ,(79) 99955-7493            ,AV. COELHO E CAMPOS                 ,1047    ,GETÚLIO VARGAS  ,49055-180
BRASIL AUTOMÓVEIS - EMPRESA FUNDADA DESDE 1985                                                 ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"AV. COELHO E CAMPOS, 888 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,CONCESSIONÁRIA                         ,(79) 98105-3347            ,AV. COELHO E CAMPOS                 ,888     ,SANTO ANTÔNIO   ,49060-000
VEMCAR VEÍCULOS                                                                                ,"4,0"                              ,(2)                                     ,"AV. DR. JOSÉ DA SILVA RIBEIRO FILHO, 575 - AMÉRICA, ARACAJU - SE, 49075-010"                                                                                         ,CONCESSIONÁRIA                         ,Contato não disponível     ,AV. DR. JOSÉ DA SILVA RIBEIRO FILHO ,575     ,AMÉRICA         ,49075-010
FÁBIO DÓRIA INCORPORAÇÕES                                                                      ,"5,0"                              ,(2)                                     ,"R. ARMINDO GUARANÁ, 32 - SANTO ANTÔNIO, ARACAJU - SE, 49060-030"                                                                                                     ,CONSTRUTORA                            ,(79) 99804-0028            ,R. ARMINDO GUARANÁ                  ,32      ,SANTO ANTÔNIO   ,49060-030
SUKITA AUTOMÓVEIS                                                                              ,"3,7"                              ,(3)                                     ,"AV. DES. MAYNARD - CIRURGIA, ARACAJU - SE, 49055-210"                                                                                                                ,REVENDEDORA DE CARROS USADOS           ,(79) 3211-4999             ,AV. DES. MAYNARD - CIRURGIA         ,ARACAJU ,CIRURGIA        ,49055-210
CAOA CHERY | GUIMA - ARACAJU - SE                                                              ,"4,2"                              ,(85)                                    ,"AV. ENG. GENTIL TAVARES, 720 - GETÚLIO VARGAS, ARACAJU - SE, 49061-020"                                                                                              ,CONCESSIONÁRIA                         ,(79) 99677-1295            ,AV. ENG. GENTIL TAVARES             ,720     ,GETÚLIO VARGAS  ,49061-020
DS AUTOS                                                                                       ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"AV. PRES. TANCREDO NEVES, 78 - CENTRO, ARACAJU - SE, 49025-620"                                                                                                      ,REVENDEDORA DE CARROS USADOS           ,(79) 98823-8982            ,AV. PRES. TANCREDO NEVES            ,78      ,CENTRO          ,49025-620
A2 MOTORS                                                                                      ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"AV. COELHO E CAMPOS, 646 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,REVENDEDORA DE CARROS USADOS           ,(79) 3085-8635             ,AV. COELHO E CAMPOS                 ,646     ,SANTO ANTÔNIO   ,49060-000
CITROËN CVL UTILITÁRIOS                                                                        ,"4,3"                              ,(55)                                    ,"AV. ENG. GENTIL TAVARES, 707 - GETÚLIO VARGAS, ARACAJU - SE, 49055-260"                                                                                              ,CONCESSIONÁRIA CITROËN                 ,(79) 3179-0700             ,AV. ENG. GENTIL TAVARES             ,707     ,GETÚLIO VARGAS  ,49055-260
TOP VEÍCULOS - LOJA 2                                                                          ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"AV. COELHO E CAMPOS, 824 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,REVENDEDORA DE CARROS USADOS           ,(79) 3025-5355             ,AV. COELHO E CAMPOS                 ,824     ,SANTO ANTÔNIO   ,49060-000
MULT AUTOS COMERCIO E REPASSE VEICULOS LTDA                                                    ,"1,0"                              ,(1)                                     ,"R. MANOEL GOMES DA ROCHA, 311 - LUZIA, ARACAJU - SE, 49045-480"                                                                                                      ,CONCESSIONÁRIA                         ,(79) 99999-8687            ,R. MANOEL GOMES DA ROCHA            ,311     ,LUZIA           ,49045-480
DENER AUTOMÓVEIS                                                                               ,"3,3"                              ,(7)                                     ,"AV. COELHO E CAMPOS, 654 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,CONCESSIONÁRIA                         ,(79) 98135-4246            ,AV. COELHO E CAMPOS                 ,654     ,SANTO ANTÔNIO   ,49060-000
V8 VEICULOS                                                                                    ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"AV. AUGUSTO FRANCO, 3083 - PONTO NOVO, ARACAJU - SE, 49047-040"                                                                                                      ,CONCESSIONÁRIA                         ,(79) 99646-2676            ,AV. AUGUSTO FRANCO                  ,3083    ,PONTO NOVO      ,49047-040
