NOME DO ESTABELECIMENTO                               ,MED.AVALIACOES                     ,QNT.AVALIACOES                          ,ENDERECO COMPLETO                                                                     ,TIPO DE ESTABELECIMENTO                      ,CONTATO DO ESTABELECIMENTO ,LOGRADOURO                                            ,NUMERO ,BAIRRO ,CEP
POSTO PETROBRAS - REDE PRESIDENTE                     ,"4,2"                              ,(676)                                   ,"R. LARANJEIRAS, 1781 - CIRURGIA, ARACAJU - SE, 49055-380"                            ,POSTO DE COMBUSTÍVEL                         ,(79) 99972-1645            ,R. LARANJEIRAS                                        ,  1781 ,       ,49055-380
POSTO SHELL - TYRESOLES                               ,"4,2"                              ,(431)                                   ,"AV. GONÇALO ROLEMBERG LEITE, 1721 - LUZIA, ARACAJU - SE, 49045-280"                  ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,AV. GONÇALO ROLEMBERG LEITE                           ,  1721 ,       ,49045-280
POSTO SHELL + GNV                                     ,"4,3"                              ,(268)                                   ,"AV. PRES. TANCREDO NEVES, 1400 - JARDINS, ARACAJU - SE, 49025-620"                   ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,AV. PRES. TANCREDO NEVES                              ,  1400 ,       ,49025-620
POSTO PETROBRAS                                       ,"4,2"                              ,(167)                                   ,"AV. PROF. JOSÉ OLINO DE LIMA NETO, 150 - AMÉRICA, ARACAJU - SE, 49080-480"           ,POSTO DE COMBUSTÍVEL                         ,(79) 3259-1078             ,AV. PROF. JOSÉ OLINO DE LIMA NETO                     ,   150 ,       ,49080-480
POSTO APERIPÊ                                         ,"4,3"                              ,(1.656)                                 ,"AV. DES. MAYNARD, 770 - SUÍÇA, ARACAJU - SE, 49055-210"                              ,POSTO DE COMBUSTÍVEL                         ,(79) 3222-2987             ,AV. DES. MAYNARD                                      ,   770 ,       ,49055-210
POSTO EKO                                             ,"4,3"                              ,(259)                                   ,"AV. GONÇALO ROLEMBERG LEITE, 2454 - PEREIRA LOBO, ARACAJU - SE, 49050-370"           ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,AV. GONÇALO ROLEMBERG LEITE                           ,  2454 ,       ,49050-370
POSTO COTINGUIBA                                      ,"4,0"                              ,(32)                                    ,"AV. GOV. PAULO BARRETO DE MENEZES, 06 - 13 DE JULHO, ARACAJU - SE, 49020-010"        ,POSTO DE COMBUSTÍVEL                         ,(79) 3211-2666             ,AV. GOV. PAULO BARRETO DE MENEZES                     ,    06 ,       ,49020-010
POSTO SÃO JOSÉ                                        ,"5,0"                              ,(1)                                     ,"AV. GONÇALO PRADO ROLEMBERG, 379 - CENTRO, ARACAJU - SE, 49010-410"                  ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,AV. GONÇALO PRADO ROLEMBERG                           ,   379 ,       ,49010-410
PETROBRAS                                             ,"5,0"                              ,(1)                                     ,"R. RT NOVE - COROA DO MEIO, ARACAJU - SE, 49035-810"                                 ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,R. RT NOVE - COROA DO MEIO                            ,       ,       ,49035-810
POSTO DE COMBUSTÍVEL JC                               ,"4,4"                              ,(72)                                    ,"R. MARIANO SALMERON - SIQUEIRA CAMPOS, ARACAJU - SE, 49075-000"                      ,POSTO DE COMBUSTÍVEL                         ,(79) 3253-1674             ,R. MARIANO SALMERON - SIQUEIRA CAMPOS                 ,       ,       ,49075-000
POSTO RIO BRANCO                                      ,"4,2"                              ,(162)                                   ,"AV. RIO BRANCO, 353 - CENTRO, ARACAJU - SE, 49010-030"                               ,POSTO DE COMBUSTÍVEL                         ,(79) 3211-1306             ,AV. RIO BRANCO                                        ,   353 ,       ,49010-030
PETROX CENTRO                                         ,"4,1"                              ,(98)                                    ,"R. ESTANCIA, 745 - CENTRO, ARACAJU - SE, 49010-180"                                  ,POSTO DE COMBUSTÍVEL                         ,(79) 3304-0300             ,R. ESTANCIA                                           ,   745 ,       ,49010-180
POSTO PETROBRAS                                       ,"4,1"                              ,(703)                                   ,"AV. MELÍCIO MACHADO, 545 - ATALAIA, ARACAJU - SE, 49000-000"                         ,POSTO DE COMBUSTÍVEL                         ,(79) 98118-6747            ,AV. MELÍCIO MACHADO                                   ,   545 ,       ,49000-000
POSTO PETROX ALPHA I                                  ,"4,1"                              ,(494)                                   ,"AV. ROTARY, 20 - ATALAIA, ARACAJU - SE, 49037-550"                                   ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,AV. ROTARY                                            ,    20 ,       ,49037-550
POSTO PETROBRAS                                       ,"4,1"                              ,(150)                                   ,"AV. COELHO E CAMPOS, 1254 - CENTRO, ARACAJU - SE, 49060-000"                         ,POSTO DE COMBUSTÍVEL                         ,(79) 99997-2164            ,AV. COELHO E CAMPOS                                   ,  1254 ,       ,49060-000
POSTO PETROBRAS                                       ,"4,3"                              ,(210)                                   ,"AV EMPRESARIO - AV. JOSÉ CARLOS SILVA, 2003 - AEROPORTO, ARACAJU - SE, 49035-000"    ,POSTO DE COMBUSTÍVEL                         ,(79) 3248-5555             ,AV EMPRESARIO - AV. JOSÉ CARLOS SILVA                 ,  2003 ,       ,49035-000
POSTO 14 BIS                                          ,"4,3"                              ,(1.040)                                 ,"AV. JOSÉ CARLOS SILVA, 2003 - AEROPORTO, ARACAJU - SE, 49042-190"                    ,POSTO DE COMBUSTÍVEL                         ,(79) 3248-5555             ,AV. JOSÉ CARLOS SILVA                                 ,  2003 ,       ,49042-190
PETROX E SUPERTEM BEIRA MAR                           ,"4,3"                              ,(1.260)                                 ,"AV. GOV. PAULO BARRETO DE MENEZES, 662 - FAROLÂNDIA, ARACAJU - SE, 49032-000"        ,POSTO DE COMBUSTÍVEL                         ,(79) 3179-2760             ,AV. GOV. PAULO BARRETO DE MENEZES                     ,   662 ,       ,49032-000
POSTO PETROBRAS                                       ,"3,3"                              ,(3)                                     ,"R. URQUIZA LEAL, 607 - GRAGERU, ARACAJU - SE, 49020-490"                             ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,R. URQUIZA LEAL                                       ,   607 ,       ,49020-490
POSTO BR                                              ,"4,1"                              ,(91)                                    ,"1264, AV. DES. MAYNARD, 1166 - CAPUCHO, ARACAJU - SE"                                ,POSTO DE COMBUSTÍVEL                         ,(11) 91139-4088            ,1264                                                  ,       ,       ,
POSTO SHELL                                           ,"4,3"                              ,(456)                                   ,"AV. ADÉLIA FRANCO, 3380 - LUZIA, ARACAJU - SE, 49048-170"                            ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,AV. ADÉLIA FRANCO                                     ,  3380 ,       ,49048-170
POSTO PETROBRAS                                       ,"4,2"                              ,(154)                                   ,"AV PREFEITO HERACLITO ROLLEMBERG, 2760 - FAROLÂNDIA, ARACAJU - SE, 49030-640"        ,POSTO DE COMBUSTÍVEL                         ,(79) 3243-3680             ,AV PREFEITO HERACLITO ROLLEMBERG                      ,  2760 ,       ,49030-640
POSTO JARDINS                                         ,"4,0"                              ,(26)                                    ,"AV. DEPUTADO SÍLVIO TEIXEIRA, 1283 - JARDINS, ARACAJU - SE, 49025-100"               ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,AV. DEPUTADO SÍLVIO TEIXEIRA                          ,  1283 ,       ,49025-100
POSTO PETROBRAS                                       ,"3,8"                              ,(32)                                    ,"AV. AUGUSTO FRANCO, 2990 - PONTO NOVO, ARACAJU - SE, 49097-670"                      ,POSTO DE COMBUSTÍVEL                         ,(79) 3249-1115             ,AV. AUGUSTO FRANCO                                    ,  2990 ,       ,49097-670
PETROX ALAGOAS                                        ,"4,3"                              ,(485)                                   ,"R. PARAÍBA, 240 - AMÉRICA, ARACAJU - SE, 49085-510"                                  ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,R. PARAÍBA                                            ,   240 ,       ,49085-510
POSTO PETROBRAS                                       ,"4,0"                              ,(83)                                    ,"AV. JOÃO RIBEIRO, 680/684 - SANTO ANTÔNIO, ARACAJU - SE, 49065-000"                  ,POSTO DE COMBUSTÍVEL                         ,(79) 99959-5908            ,AV. JOÃO RIBEIRO                                      ,   680 ,       ,49065-000
POSTO PETROBRAS                                       ,"4,1"                              ,(203)                                   ,"R. NICEU DANTAS, 81 - ATALAIA, ARACAJU - SE, 49037-470"                              ,POSTO DE COMBUSTÍVEL                         ,(79) 3243-5341             ,R. NICEU DANTAS                                       ,    81 ,       ,49037-470
POSTO DE COMBUSTÍVEIS AEROPOSTO                       ,"4,3"                              ,(44)                                    ,"AEROPORTO, ARACAJU - SE"                                                             ,POSTO DE COMBUSTÍVEL                         ,(79) 99807-2771            ,AEROPORTO                                             ,       ,       ,
POSTO PETROBRAS                                       ,"3,8"                              ,(5)                                     ,"INACIO BARBOSA - TRAVESSA J, 4818 - JARDIM CENTENÁRIO, ARACAJU - SE, 49040-230"      ,POSTO DE COMBUSTÍVEL                         ,(79) 3249-2427             ,INACIO BARBOSA - TRAVESSA J                           ,  4818 ,       ,49040-230
PETROX ALPHA 5                                        ,"4,2"                              ,(867)                                   ,"AV. PRES. TANCREDO NEVES, 3322 - PONTO NOVO, ARACAJU - SE, 49097-510"                ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,AV. PRES. TANCREDO NEVES                              ,  3322 ,       ,49097-510
REDE PRESIDENTE | COELHO E CAMPOS                     ,"4,1"                              ,(413)                                   ,"AV. COELHO E CAMPOS, 1254 - CENTRO, ARACAJU - SE, 49060-000"                         ,POSTO DE COMBUSTÍVEL                         ,(79) 3179-3220             ,AV. COELHO E CAMPOS                                   ,  1254 ,       ,49060-000
