NOME DO ESTABELECIMENTO                               ,MED.AVALIACOES                     ,QNT.AVALIACOES                          ,ENDERECO COMPLETO                                                                     ,TIPO DE ESTABELECIMENTO                      ,CONTATO DO ESTABELECIMENTO ,LOGRADOURO                                            ,NUMERO ,BAIRRO ,CEP
POSTO CENTRAL                                         ,"3,8"                              ,(23)                                    ,"R. JAPARATUBA, 387 - SANTO ANTÔNIO, ARACAJU - SE, 49060-640"                         ,POSTO DE COMBUSTÍVEL                         ,(79) 3179-2447             ,R. JAPARATUBA                                         ,   387 ,       ,49060-640
SINDICATO DOS REVENDEDORES DE COMBUSTÍVEIS DE SERGIPE ,"5,0"                              ,(4)                                     ,"R. DEP. EUCLÍDES PAES MENDONÇA, 871 - SALGADO FILHO, ARACAJU - SE, 49020-460"        ,POSTO DE COMBUSTÍVEL                         ,(79) 3214-4708             ,R. DEP. EUCLÍDES PAES MENDONÇA                        ,   871 ,       ,49020-460
POSTO SERRANO                                         ,"4,3"                              ,(331)                                   ,"742, R. PARAÍBA, 706 - AMÉRICA, ARACAJU - SE"                                        ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,742                                                   ,       ,       ,
JARDINS DELICATESSEN                                  ,"4,3"                              ,(553)                                   ,"AV. PRES. TANCREDO NEVES, 7604 - AMÉRICA, ARACAJU - SE, 49080-470"                   ,POSTO DE COMBUSTÍVEL                         ,(79) 99191-4432            ,AV. PRES. TANCREDO NEVES                              ,  7604 ,       ,49080-470
POSTO SHELL                                           ,"4,1"                              ,(25)                                    ,"AV. PRES. TANCREDO NEVES, 7604 - AMÉRICA, ARACAJU - SE, 49080-470"                   ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,AV. PRES. TANCREDO NEVES                              ,  7604 ,       ,49080-470
POSTO SÃO JOÃO                                        ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"AV. GONÇALO ROLEMBERG LEITE - SÃO JOSÉ, ARACAJU - SE, 49015-230"                     ,POSTO DE COMBUSTÍVEL                         ,(79) 99911-5773            ,AV. GONÇALO ROLEMBERG LEITE - SÃO JOSÉ                ,       ,       ,49015-230
BR PETROBRAS                                          ,"5,0"                              ,(1)                                     ,"AV. HERMES FONTES, 12 - CIRURGIA, ARACAJU - SE, 49052-000"                           ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,AV. HERMES FONTES                                     ,    12 ,       ,49052-000
POSTO PETROBRAS                                       ,"4,7"                              ,(10)                                    ,"AV. BARÃO DE MARUIM, 552 - SALA 5 - CENTRO, ARACAJU - SE, 49010-340"                 ,POSTO DE COMBUSTÍVEL                         ,(79) 99971-0419            ,AV. BARÃO DE MARUIM                                   ,   552 ,       ,49010-340
POSTO BARÃO                                           ,"4,3"                              ,(3)                                     ,"AV. BARÃO DE MARUIM, 552 - SUÍÇA, ARACAJU - SE, 49015-040"                           ,POSTO DE COMBUSTÍVEL                         ,(79) 3222-1050             ,AV. BARÃO DE MARUIM                                   ,   552 ,       ,49015-040
POSTO PETROBRAS                                       ,"4,2"                              ,(93)                                    ,"R. MARIANO SALMERON, 772 - SIQUEIRA CAMPOS, ARACAJU - SE, 49075-370"                 ,POSTO DE COMBUSTÍVEL                         ,(79) 3253-1674             ,R. MARIANO SALMERON                                   ,   772 ,       ,49075-370
BR MANIA CONVENIÊNCIA                                 ,"4,8"                              ,(4)                                     ,"AV. FRANCISCO PORTO, 1086 - SALGADO FILHO, ARACAJU - SE, 49020-120"                  ,LOJA DE CONVENIÊNCIA                         ,Contato não disponível     ,AV. FRANCISCO PORTO                                   ,  1086 ,       ,49020-120
POSTO PETROX PORTO DANTAS                             ,"4,3"                              ,(86)                                    ,"AV. GEN. EUCLÍDES FIGUEIREDO, 953 - PORTO D'ANTAS, ARACAJU - SE, 49067-013"          ,POSTO DE COMBUSTÍVEL                         ,(79) 3304-0300             ,AV. GEN. EUCLÍDES FIGUEIREDO                          ,   953 ,       ,49067-013
REFLORESTE                                            ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"R. TERÊNCIO SAMPAIO, 79 - GRAGERU, ARACAJU - SE, 49025-700"                          ,POSTO DE COMBUSTÍVEL                         ,(79) 3211-1051             ,R. TERÊNCIO SAMPAIO                                   ,    79 ,       ,49025-700
POSTO REDE PRESIDENTE                                 ,"4,0"                              ,(8)                                     ,"AV. TANCREDO CAMPOS, 800 - INDUSTRIAL, ARACAJU - SE, 49065-780"                      ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,AV. TANCREDO CAMPOS                                   ,   800 ,       ,49065-780
BR MANIA CONVENIÊNCIA                                 ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"AV. FRANCISCO PORTO, 650 - SALGADO FILHO, ARACAJU - SE, 49020-120"                   ,LOJA DE CONVENIÊNCIA                         ,Contato não disponível     ,AV. FRANCISCO PORTO                                   ,   650 ,       ,49020-120
POSTO PETROBRAS                                       ,"5,0"                              ,(1)                                     ,"AV. GEN. EUCLÍDES FIGUEIREDO, 549 - SOLEDADE, ARACAJU - SE, 49089-025"               ,POSTO DE COMBUSTÍVEL                         ,(79) 99956-6666            ,AV. GEN. EUCLÍDES FIGUEIREDO                          ,   549 ,       ,49089-025
IPIRANGA                                              ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"AV. RIO BRANCO, 353 - CENTRO, ARACAJU - SE"                                          ,POSTO DE COMBUSTÍVEL                         ,(79) 3214-2419             ,AV. RIO BRANCO                                        ,   353 ,       ,
POSTO ALPHA 07                                        ,"3,0"                              ,(3)                                     ,"AV. MARIO JORGE MENEZES VIÊIRA, 1703 - COROA DO MEIO, ARACAJU - SE, 49035-660"       ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,AV. MARIO JORGE MENEZES VIÊIRA                        ,  1703 ,       ,49035-660
PETROX SARNEY                                         ,"4,6"                              ,(38)                                    ,"AV. INÁCIO BARBOSA, 6450 - ARUANA, ARACAJU - SE, 49033-596"                          ,POSTO DE COMBUSTÍVEL                         ,(79) 3114-6016             ,AV. INÁCIO BARBOSA                                    ,  6450 ,       ,49033-596
POSTO REDE PRESIDENTE | CAPUCHO                       ,"5,0"                              ,(1)                                     ,"AV. MARECHAL RONDON, 1320 - CAPUCHO, ARACAJU - SE, 49081-120"                        ,POSTO DE COMBUSTÍVEL                         ,(79) 99819-6439            ,AV. MARECHAL RONDON                                   ,  1320 ,       ,49081-120
POSTO DE COMBUSTÍVEL BR                               ,"4,3"                              ,(61)                                    ,"R. DO TOQUE, 136 - SOLEDADE, ARACAJU - SE, 49089-095"                                ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,R. DO TOQUE                                           ,   136 ,       ,49089-095
POSTO MANIA||                                         ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"AV. RIO POXIM, 2A - JABOTIANA, ARACAJU - SE, 49095-545"                              ,POSTO DE COMBUSTÍVEL                         ,(79) 99841-6552            ,AV. RIO POXIM                                         ,     2 ,       ,49095-545
POSTO GAMA E CIA                                      ,"4,0"                              ,(5)                                     ,"AV. AUGUSTO FRANCO, 2990 - PONTO NOVO, ARACAJU - SE, 49097-670"                      ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,AV. AUGUSTO FRANCO                                    ,  2990 ,       ,49097-670
AUTO POSTO UNIVERSIDADE                               ,"3,8"                              ,(31)                                    ,"AV. MARECHAL RONDON, 1320 - CAPUCHO, ARACAJU - SE, 49095-000"                        ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,AV. MARECHAL RONDON                                   ,  1320 ,       ,49095-000
BR                                                    ,"4,4"                              ,(23)                                    ,"R. PRES. JÂNIO QUADROS - OLARIA, ARACAJU - SE, 49092-180"                            ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,R. PRES. JÂNIO QUADROS - OLARIA                       ,       ,       ,49092-180
BRANCA                                                ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"AV. PRES. TANCREDO NEVES, 670 - JARDINS, ARACAJU - SE, 49025-620"                    ,POSTO DE COMBUSTÍVEL                         ,(79) 3046-7292             ,AV. PRES. TANCREDO NEVES                              ,   670 ,       ,49025-620
AUTO POSTO PETROX - POSTO ALPHA II                    ,"3,8"                              ,(61)                                    ,"AV. MARIO JORGE MENEZES VIÊIRA, 59 - ATALAIA, ARACAJU - SE, 49035-660"               ,POSTO DE ABASTECIMENTO DE VEÍCULOS ELÉTRICOS ,(79) 3304-0300             ,AV. MARIO JORGE MENEZES VIÊIRA                        ,    59 ,       ,49035-660
POSTO SÃO CRISTÓVÃO                                   ,"4,3"                              ,(22)                                    ,"R. MARIANO SALMERON, 709 - SIQUEIRA CAMPOS, ARACAJU - SE, 49075-000"                 ,POSTO DE COMBUSTÍVEL                         ,(79) 3241-3474             ,R. MARIANO SALMERON                                   ,   709 ,       ,49075-000
POSTO PETROX                                          ,"4,2"                              ,(480)                                   ,"ARUANA, ARACAJU - SE"                                                                ,POSTO DE COMBUSTÍVEL                         ,(79) 3304-0300             ,ARUANA                                                ,       ,       ,
SHELL                                                 ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"AV. DR. JOSÉ DA SILVA RIBEIRO FILHO - SUÍÇA, ARACAJU - SE, 49075-170"                ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,AV. DR. JOSÉ DA SILVA RIBEIRO FILHO - SUÍÇA           ,       ,       ,49075-170
POSTO PETROBRAS                                       ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"AV. ENG. GENTIL TAVARES, 381 - GETÚLIO VARGAS, ARACAJU - SE, 49055-670"              ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,AV. ENG. GENTIL TAVARES                               ,   381 ,       ,49055-670
POSTO ALPHA 04                                        ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"AV. DR. EDELZIO VIEIRA DE MELO, 110B - SÃO JOSÉ, ARACAJU - SE, 49015-330"            ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,AV. DR. EDELZIO VIEIRA DE MELO                        ,   110 ,       ,49015-330
POSTO SORRISO                                         ,"4,2"                              ,(28)                                    ,"AV. GEN. EUCLÍDES FIGUEIREDO, 3281 - PORTO D'ANTAS, ARACAJU - SE, 49089-025"         ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,AV. GEN. EUCLÍDES FIGUEIREDO                          ,  3281 ,       ,49089-025
BR MANIA CONVENIÊNCIA                                 ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"TRAVESSA J. DISTRITO INDUSTRIAL, 4818 - INÁCIO BARBOSA, ARACAJU - SE, 49042-190"     ,LOJA DE CONVENIÊNCIA                         ,Contato não disponível     ,TRAVESSA J. DISTRITO INDUSTRIAL                       ,  4818 ,       ,49042-190
BRANCA                                                ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"AV. FRANCISCO PORTO, 650 - SALGADO FILHO, ARACAJU - SE, 49020-120"                   ,POSTO DE COMBUSTÍVEL                         ,(79) 3246-5590             ,AV. FRANCISCO PORTO                                   ,   650 ,       ,49020-120
PETROX LUB                                            ,"3,6"                              ,(43)                                    ,"AV. ALEXANDRE ALCINO, 1200 - SANTA MARIA, ARACAJU - SE, 49044-093"                   ,SERVIÇO DE TROCA DE ÓLEO                     ,(79) 98119-6229            ,AV. ALEXANDRE ALCINO                                  ,  1200 ,       ,49044-093
AERO POSTO SANTA MARIA                                ,"4,0"                              ,(2)                                     ,"AV. JOSÉ CARLOS SILVA, 2003 - FAROLÂNDIA, ARACAJU - SE, 49030-640"                   ,POSTO DE COMBUSTÍVEL                         ,(79) 3248-5555             ,AV. JOSÉ CARLOS SILVA                                 ,  2003 ,       ,49030-640
