NOME DO ESTABELECIMENTO                                                                        ,MED.AVALIACOES                     ,QNT.AVALIACOES                          ,ENDERECO COM CEP                                                                                                                                                      ,INF.ADICIONAIS                         ,CONTATO
MICA AUTOMÓVEIS                                                                                ,"4,2"                              ,(83)                                    ,"AVENIDA CARLOS BURLAMARQUI, 694 AVENIDA COELHO E CAMPOS, 923 AVENIDA CARLOS BURLAMARQUI, 697, AV. CARLOS BURLAMARQUI, 705 - GETÚLIO VARGAS, ARACAJU - SE, 49055-150" ,Revendedora de carros usados           ,(79) 3222-3332
IMPACTO VEICULOS AJU                                                                           ,"5,0"                              ,(1)                                     ,"AV. COELHO E CAMPOS, 1138 - 18 DO FORTE, ARACAJU - SE, 49060-000"                                                                                                    ,Revendedora de carros usados           ,(79) 99825-4651
MARVEL VEÍCULOS SEMI-NOVOS                                                                     ,"4,5"                              ,(22)                                    ,"R. MARUIM, 1749 - GETÚLIO VARGAS, ARACAJU - SE, 49055-440"                                                                                                           ,Revendedora de carros usados           ,(79) 99955-6589
"SAMAM FIAT MATRIZ: CARROS NOVOS, FASTBACK, CRONOS, TROCA DE ÓLEO, ARACAJU SE"                 ,"4,3"                              ,(700)                                   ,"R. BASÍLIO ROCHA, 89 - GETÚLIO VARGAS, ARACAJU - SE, 49055-110"                                                                                                      ,Concessionária da Fiat                 ,(79) 3512-0148
MAIS SEMINOVOS.                                                                                ,"4,8"                              ,(60)                                    ,"AV. COELHO E CAMPOS, 894 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,Revendedora de carros usados           ,(79) 3013-6436
A CREDI-AUTO                                                                                   ,"4,5"                              ,(53)                                    ,"AV. COELHO E CAMPOS, 130 - SANTO ANTÔNIO, ARACAJU - SE, 49055-490"                                                                                                   ,Revendedora de carros usados           ,(79) 3236-1948
"DNA MULTIMARCAS - CARROS E SEMINOVOS, VENDAS E COMPRA"                                        ,"4,2"                              ,(5)                                     ,"AV. ANÍSIO AZEVEDO, 681 - SALGADO FILHO, ARACAJU - SE, 49020-235"                                                                                                    ,Concessionária                         ,(79) 99991-5590
CABEÇÃO VEÍCULOS                                                                               ,"4,4"                              ,(52)                                    ,"AV. COELHO E CAMPOS, 1123 - CENTRO, ARACAJU - SE, 49010-720"                                                                                                         ,Concessionária                         ,(79) 99910-1412
REI DAS MULTIMARCAS                                                                            ,"4,9"                              ,(30)                                    ,"AV. PEDRO CALAZANS, 122 - GETÚLIO VARGAS, ARACAJU - SE, 49055-520"                                                                                                   ,Concessionária                         ,(79) 99646-1006
PINHEIRO VEICULOS                                                                              ,"4,8"                              ,(14)                                    ,"AV. PEDRO CALAZANS, 1136 - GETÚLIO VARGAS, ARACAJU - SE, 49055-520"                                                                                                  ,Concessionária                         ,(79) 99919-0367
