NOME DO ESTABELECIMENTO                                                                        ,MED.AVALIACOES                     ,QNT.AVALIACOES                          ,ENDERECO COM CEP                                                                                                                                                      ,INF.ADICIONAIS                         ,CONTATO
JV AUTOMÓVEIS AJU                                                                              ,"4,0"                              ,(1)                                     ,"AV. COELHO E CAMPOS, 1047 - GETÚLIO VARGAS, ARACAJU - SE, 49055-180"                                                                                                 ,Concessionária                         ,(79) 99955-7493
BRASIL AUTOMÓVEIS - EMPRESA FUNDADA DESDE 1985                                                 ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"AV. COELHO E CAMPOS, 888 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,Concessionária                         ,(79) 98105-3347
VEMCAR VEÍCULOS                                                                                ,"4,0"                              ,(2)                                     ,"AV. DR. JOSÉ DA SILVA RIBEIRO FILHO, 575 - AMÉRICA, ARACAJU - SE, 49075-010"                                                                                         ,Concessionária                         ,Contato não disponível
FÁBIO DÓRIA INCORPORAÇÕES                                                                      ,"5,0"                              ,(2)                                     ,"R. ARMINDO GUARANÁ, 32 - SANTO ANTÔNIO, ARACAJU - SE, 49060-030"                                                                                                     ,Construtora                            ,(79) 99804-0028
SUKITA AUTOMÓVEIS                                                                              ,"3,7"                              ,(3)                                     ,"AV. DES. MAYNARD - CIRURGIA, ARACAJU - SE, 49055-210"                                                                                                                ,Revendedora de carros usados           ,(79) 3211-4999
CAOA CHERY | GUIMA - ARACAJU - SE                                                              ,"4,2"                              ,(85)                                    ,"AV. ENG. GENTIL TAVARES, 720 - GETÚLIO VARGAS, ARACAJU - SE, 49061-020"                                                                                              ,Concessionária                         ,(79) 99677-1295
DS AUTOS                                                                                       ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"AV. PRES. TANCREDO NEVES, 78 - CENTRO, ARACAJU - SE, 49025-620"                                                                                                      ,Revendedora de carros usados           ,(79) 98823-8982
A2 MOTORS                                                                                      ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"AV. COELHO E CAMPOS, 646 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,Revendedora de carros usados           ,(79) 3085-8635
CITROËN CVL UTILITÁRIOS                                                                        ,"4,3"                              ,(55)                                    ,"AV. ENG. GENTIL TAVARES, 707 - GETÚLIO VARGAS, ARACAJU - SE, 49055-260"                                                                                              ,Concessionária Citroën                 ,(79) 3179-0700
TOP VEÍCULOS - LOJA 2                                                                          ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"AV. COELHO E CAMPOS, 824 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,Revendedora de carros usados           ,(79) 3025-5355
MULT AUTOS COMERCIO E REPASSE VEICULOS LTDA                                                    ,"1,0"                              ,(1)                                     ,"R. MANOEL GOMES DA ROCHA, 311 - LUZIA, ARACAJU - SE, 49045-480"                                                                                                      ,Concessionária                         ,(79) 99999-8687
