NOME DO ESTABELECIMENTO                                                                        ,MED.AVALIACOES                     ,QNT.AVALIACOES                          ,ENDERECO COM CEP                                                                                                                                                      ,INF.ADICIONAIS                         ,CONTATO
NOSSA SENHORA APARECIDA VEÍCULOS                                                               ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"AV. COELHO E CAMPOS, 810 - CENTRO, ARACAJU - SE, 49060-000"                                                                                                          ,Revendedora de carros usados           ,Contato não disponível
FIAT REVEMAR                                                                                   ,"4,4"                              ,(67)                                    ,"AV. OVIEDO TEIXEIRA, 959 - JARDINS, ARACAJU - SE, 49026-100"                                                                                                         ,Concessionária                         ,Contato não disponível
JBM AUTOMÓVEIS                                                                                 ,"4,7"                              ,(3)                                     ,"AV. PEDRO CALAZANS, 43 - CENTRO, ARACAJU - SE, 49010-490"                                                                                                            ,Concessionária                         ,Contato não disponível
SERTANEJO VEÍCULOS                                                                             ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"AV. PEDRO CALAZANS, 243 - CENTRO, ARACAJU - SE, 49010-490"                                                                                                           ,Concessionária                         ,Contato não disponível
JV AUTOMÓVEIS AJU                                                                              ,"4,0"                              ,(1)                                     ,"AV. COELHO E CAMPOS, 1047 - GETÚLIO VARGAS, ARACAJU - SE, 49055-180"                                                                                                 ,Concessionária                         ,Contato não disponível
BRASIL AUTOMÓVEIS - EMPRESA FUNDADA DESDE 1985                                                 ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"AV. COELHO E CAMPOS, 888 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,Concessionária                         ,Contato não disponível
VEMCAR VEÍCULOS                                                                                ,"4,0"                              ,(2)                                     ,"AV. DR. JOSÉ DA SILVA RIBEIRO FILHO, 575 - AMÉRICA, ARACAJU - SE, 49075-010"                                                                                         ,Concessionária                         ,Contato não disponível
FÁBIO DÓRIA INCORPORAÇÕES                                                                      ,"5,0"                              ,(2)                                     ,"R. ARMINDO GUARANÁ, 32 - SANTO ANTÔNIO, ARACAJU - SE, 49060-030"                                                                                                     ,Construtora                            ,Contato não disponível
CAOA CHERY | GUIMA - ARACAJU - SE                                                              ,"4,2"                              ,(85)                                    ,"AV. ENG. GENTIL TAVARES, 720 - GETÚLIO VARGAS, ARACAJU - SE, 49061-020"                                                                                              ,Concessionária                         ,Contato não disponível
DS AUTOS                                                                                       ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"AV. PRES. TANCREDO NEVES, 78 - CENTRO, ARACAJU - SE, 49025-620"                                                                                                      ,Revendedora de carros usados           ,Contato não disponível
A2 MOTORS                                                                                      ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"AV. COELHO E CAMPOS, 646 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,Revendedora de carros usados           ,Contato não disponível
CITROËN CVL UTILITÁRIOS                                                                        ,"4,3"                              ,(55)                                    ,"AV. ENG. GENTIL TAVARES, 707 - GETÚLIO VARGAS, ARACAJU - SE, 49055-260"                                                                                              ,Concessionária Citroën                 ,Contato não disponível
TOP VEÍCULOS - LOJA 2                                                                          ,Média de avaliações não disponível ,Quantidade de avaliações não disponível ,"AV. COELHO E CAMPOS, 824 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,Revendedora de carros usados           ,Contato não disponível
MULT AUTOS COMERCIO E REPASSE VEICULOS LTDA                                                    ,"1,0"                              ,(1)                                     ,"R. MANOEL GOMES DA ROCHA, 311 - LUZIA, ARACAJU - SE, 49045-480"                                                                                                      ,Concessionária                         ,Contato não disponível
DENER AUTOMÓVEIS                                                                               ,"3,3"                              ,(7)                                     ,"AV. COELHO E CAMPOS, 654 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,Concessionária                         ,Contato não disponível
